i;j;p;v;p_int_ub
0; 0;1.00000000; 0;1.00000000
1; 0;0.34875106;-1;0.34875106
1; 1;0.60000000; 0;0.94875106
1; 2;0.00526354; 1;0.95401460
1; 3;0.00142485; 2;0.95543945
1; 4;0.00065312; 3;0.95609257
1; 5;0.00050695; 4;0.95659952
1; 6;0.00066630; 5;0.95726582
1; 7;0.00148289; 6;0.95874871
1; 8;0.00558849; 7;0.96433720
1; 9;0.03566280; 8;1.00000000
2; 0;0.14270374;-2;0.14270374
2; 1;0.14270375;-1;0.28540749
2; 2;0.60000000; 0;0.88540749
2; 3;0.02943480; 1;0.91484229
2; 4;0.01895105; 2;0.93379334
2; 5;0.01356805; 3;0.94736139
2; 6;0.01080223; 4;0.95816362
2; 7;0.00956361; 5;0.96772723
2; 8;0.00941548; 6;0.97714271
2; 9;0.01030800; 7;0.98745071
2;10;0.01254929; 8;1.00000000
3; 0;0.07851867;-3;0.07851867
3; 1;0.07851866;-2;0.15703733
3; 2;0.07851867;-1;0.23555600
3; 3;0.60000000; 0;0.83555600
3; 4;0.04825539; 1;0.88381139
3; 5;0.03744607; 2;0.92125746
3; 6;0.02782778; 3;0.94908524
3; 7;0.01980444; 4;0.96888968
3; 8;0.01349766; 5;0.98238734
3; 9;0.00880980; 6;0.99119714
3;10;0.00550663; 7;0.99670377
3;11;0.00329623; 8;1.00000000
4; 0;0.03542944;-4;0.03542944
4; 1;0.04905225;-3;0.08448169
4; 2;0.06083169;-2;0.14531338
4; 3;0.06757364;-1;0.21288702
4; 4;0.60000000; 0;0.81288702
4; 5;0.05992410; 1;0.87281112
4; 6;0.04783857; 2;0.92064969
4; 7;0.03420829; 3;0.95485798
4; 8;0.02191093; 4;0.97676891
4; 9;0.01257092; 5;0.98933983
4;10;0.00646025; 6;0.99580008
4;11;0.00297377; 7;0.99877385
4;12;0.00122615; 8;1.00000000
5; 0;0.01404356;-5;0.01404356
5; 1;0.02562533;-4;0.03966889
5; 2;0.04072987;-3;0.08039876
5; 3;0.05639069;-2;0.13678945
5; 4;0.06800688;-1;0.20479633
5; 5;0.60000000; 0;0.80479633
5; 6;0.06537274; 1;0.87016907
5; 7;0.05210690; 2;0.92227597
5; 8;0.03617800; 3;0.95845397
5; 9;0.02187988; 4;0.98033385
5;10;0.01152648; 5;0.99186033
5;11;0.00528931; 6;0.99714964
5;12;0.00211423; 7;0.99926387
5;13;0.00073613; 8;1.00000000
6; 0;0.00510772;-6;0.00510772
6; 1;0.01160428;-5;0.01671200
6; 2;0.02268523;-4;0.03939723
6; 3;0.03815936;-3;0.07755659
6; 4;0.05523223;-2;0.13278882
6; 5;0.06878876;-1;0.20157758
6; 6;0.60000000; 0;0.80157758
6; 7;0.06797783; 1;0.86955541
6; 8;0.05393769; 2;0.92349310
6; 9;0.03682568; 3;0.96031878
6;10;0.02163428; 4;0.98195306
6;11;0.01093623; 5;0.99288929
6;12;0.00475693; 6;0.99764622
6;13;0.00178040; 7;0.99942662
6;14;0.00057338; 8;1.00000000
7; 0;0.00168416;-7;0.00168416
7; 1;0.00461242;-6;0.00629658
7; 2;0.01081603;-5;0.01711261
7; 3;0.02171696;-4;0.03882957
7; 4;0.03733558;-3;0.07616515
7; 5;0.05495900;-2;0.13112415
7; 6;0.06927033;-1;0.20039448
7; 7;0.60000000; 0;0.80039448
7; 8;0.06907824; 1;0.86947272
7; 9;0.05465460; 2;0.92412732
7;10;0.03702582; 3;0.96115314
7;11;0.02147707; 4;0.98263021
7;12;0.01066688; 5;0.99329709
7;13;0.00453621; 6;0.99783330
7;14;0.00165173; 7;0.99948503
7;15;0.00051497; 8;1.00000000
8; 0;0.00049443;-8;0.00049443
8; 1;0.00160506;-7;0.00209949
8; 2;0.00445336;-6;0.00655285
8; 3;0.01056093;-5;0.01711378
8; 4;0.02140583;-4;0.03851961
8; 5;0.03708321;-3;0.07560282
8; 6;0.05490835;-2;0.13051117
8; 7;0.06948883;-1;0.20000000
8; 8;0.60000000; 0;0.80000000
8; 9;0.06948883; 1;0.86948883
8;10;0.05490835; 2;0.92439718
8;11;0.03708321; 3;0.96148039
8;12;0.02140583; 4;0.98288622
8;13;0.01056093; 5;0.99344715
8;14;0.00445336; 6;0.99790051
8;15;0.00160506; 7;0.99950557
8;16;0.00049443; 8;1.00000000
