i;j;p;v;p_int_ub
0;0;1.00000000; 0;1.00000000
1;0;0.51333333;-1;0.51333333
1;2;0.46000000; 1;0.97333333
1;3;0.02666667; 2;1.00000000
2;0;0.16560835;-2;0.16560835
2;2;0.54634992; 0;0.71195827
2;3;0.24486677; 1;0.95682504
2;4;0.04317496; 2;1.00000000
3;2;0.42078468;-1;0.42078468
3;3;0.27764596; 0;0.69843064
3;4;0.18235404; 1;0.88078468
3;5;0.11921532; 2;1.00000000
4;2;0.07394668;-2;0.07394668
4;3;0.24421329;-1;0.31815997
4;4;0.36368006; 0;0.68184003
4;5;0.24421329; 1;0.92605332
4;6;0.07394668; 2;1.00000000
