i;j;p;v;p_int_ub
0; 0;1.00000000; 0;1.00000000
1; 0;0.31045906;-1;0.31045906
1; 1;0.60000000; 0;0.91045906
1; 2;0.03209121; 1;0.94255027
1; 3;0.01437737; 2;0.95692764
1; 4;0.00803602; 3;0.96496366
1; 5;0.00560365; 4;0.97056731
1; 6;0.00487495; 5;0.97544226
1; 7;0.00529098; 6;0.98073324
1; 8;0.00716426; 7;0.98789750
1; 9;0.01210250; 8;1.00000000
2; 0;0.12552710;-2;0.12552710
2; 1;0.12552710;-1;0.25105420
2; 2;0.60000000; 0;0.85105420
2; 3;0.05364570; 1;0.90469990
2; 4;0.03623109; 2;0.94093099
2; 5;0.02376711; 3;0.96469810
2; 6;0.01514329; 4;0.97984139
2; 7;0.00937158; 5;0.98921297
2; 8;0.00563318; 6;0.99484615
2; 9;0.00328884; 7;0.99813499
2;10;0.00186501; 8;1.00000000
3; 0;0.05292871;-3;0.05292871
3; 1;0.07424288;-2;0.12717159
3; 2;0.08789952;-1;0.21507111
3; 3;0.60000000; 0;0.81507111
3; 4;0.07408922; 1;0.88916033
3; 5;0.05274626; 2;0.94190659
3; 6;0.03169543; 3;0.97360202
3; 7;0.01607570; 4;0.98967772
3; 8;0.00688196; 5;0.99655968
3; 9;0.00248669; 6;0.99904637
3;10;0.00075840; 7;0.99980477
3;11;0.00019523; 8;1.00000000
4; 0;0.01733137;-4;0.01733137
4; 1;0.03704639;-3;0.05437776
4; 2;0.06335120;-2;0.11772896
4; 3;0.08666819;-1;0.20439715
4; 4;0.60000000; 0;0.80439715
4; 5;0.08305347; 1;0.88745062
4; 6;0.05817692; 2;0.94562754
4; 7;0.03260167; 3;0.97822921
4; 8;0.01461588; 4;0.99284509
4; 9;0.00524211; 5;0.99808720
4;10;0.00150413; 6;0.99959133
4;11;0.00034526; 7;0.99993659
4;12;0.00006341; 8;1.00000000
5; 0;0.00486828;-5;0.00486828
5; 1;0.01440844;-4;0.01927672
5; 2;0.03347117;-3;0.05274789
5; 3;0.06102922;-2;0.11377711
5; 4;0.08734082;-1;0.20111793
5; 5;0.60000000; 0;0.80111793
5; 6;0.08649966; 1;0.88761759
5; 7;0.05985935; 2;0.94747694
5; 8;0.03251339; 3;0.97999033
5; 9;0.01386135; 4;0.99385168
5;10;0.00463832; 5;0.99849000
5;11;0.00121823; 6;0.99970823
5;12;0.00025113; 7;0.99995936
5;13;0.00004064; 8;1.00000000
6; 0;0.00114971;-6;0.00114971
6; 1;0.00449267;-5;0.00564238
6; 2;0.01370021;-4;0.01934259
6; 3;0.03260272;-3;0.05194531
6; 4;0.06054590;-2;0.11249121
6; 5;0.08774449;-1;0.20023570
6; 6;0.60000000; 0;0.80023570
6; 7;0.08757962; 1;0.88781532
6; 8;0.06031859; 2;0.94813391
6; 9;0.03241928; 3;0.98055319
6;10;0.01359753; 4;0.99415072
6;11;0.00445063; 5;0.99860135
6;12;0.00113680; 6;0.99973815
6;13;0.00022660; 7;0.99996475
6;14;0.00003525; 8;1.00000000
7; 0;0.00022103;-7;0.00022103
7; 1;0.00111817;-6;0.00133920
7; 2;0.00440788;-5;0.00574708
7; 3;0.01354032;-4;0.01928740
7; 4;0.03241190;-3;0.05169930
7; 5;0.06045827;-2;0.11215757
7; 6;0.08787855;-1;0.20003612
7; 7;0.60000000; 0;0.80003612
7; 8;0.08785463; 1;0.88789075
7; 9;0.06042539; 2;0.94831614
7;10;0.03238545; 3;0.98070159
7;11;0.01352560; 4;0.99422719
7;12;0.00440188; 5;0.99862907
7;13;0.00111634; 6;0.99974541
7;14;0.00022062; 7;0.99996603
7;15;0.00003397; 8;1.00000000
8; 0;0.00003372;-8;0.00003372
8; 1;0.00021941;-7;0.00025313
8; 2;0.00111220;-6;0.00136533
8; 3;0.00439188;-5;0.00575721
8; 4;0.01351046;-4;0.01926767
8; 5;0.03237733;-3;0.05164500
8; 6;0.06044539;-2;0.11209039
8; 7;0.08790961;-1;0.20000000
8; 8;0.60000000; 0;0.80000000
8; 9;0.08790961; 1;0.88790961
8;10;0.06044539; 2;0.94835500
8;11;0.03237733; 3;0.98073233
8;12;0.01351046; 4;0.99424279
8;13;0.00439188; 5;0.99863467
8;14;0.00111220; 6;0.99974687
8;15;0.00021941; 7;0.99996628
8;16;0.00003372; 8;1.00000000
